iter	Passed	Remaining
404	5415	7956
405	5437	7955
406	5471	7972
407	5486	7961
408	5499	7946
409	5511	7931
410	5519	7909
411	5530	7892
412	5536	7868
413	5547	7852
414	5557	7834
415	5567	7815
416	5578	7799
417	5590	7783
418	5606	7774
419	5619	7759
420	5630	7743
421	5646	7733
422	5656	7716
423	5667	7699
424	5681	7686
425	5693	7670
426	5705	7656
427	5724	7650
428	5772	7683
429	5794	7680
430	5823	7687
431	5831	7667
432	5841	7649
433	5859	7641
434	5873	7629
435	5888	7616
436	5902	7603
437	5911	7585
438	5922	7568
439	5940	7560
440	5957	7551
441	5973	7540
442	5990	7531
443	6006	7521
444	6022	7511
445	6049	7513
446	6066	7504
447	6076	7487
448	6089	7472
449	6101	7457
450	6120	7450
451	6133	7435
452	6146	7421
453	6159	7407
454	6168	7388
455	6185	7378
456	6198	7365
457	6215	7355
458	6237	7352
459	6256	7345
460	6266	7326
461	6280	7314
462	6296	7303
463	6309	7288
464	6328	7281
465	6339	7265
466	6350	7247
467	6388	7261
468	6405	7251
469	6469	7295
470	6491	7290
471	6523	7297
472	6540	7287
473	6555	7275
474	6571	7262
475	6589	7253
476	6603	7240
477	6616	7225
478	6627	7208
479	6645	7199
480	6653	7178
481	6668	7167
482	6700	7172
483	6719	7163
484	6734	7151
485	6748	7137
486	6761	7122
487	6773	7106
488	6784	7090
489	6796	7074
490	6808	7057
491	6817	7039
492	6830	7024
493	6845	7011
494	6859	6997
495	6872	6982
496	6888	6971
497	6904	6959
498	6914	6942
499	6927	6927
500	6940	6912
501	6948	6893
502	6962	6879
503	6973	6862
504	6987	6849
505	6995	6829
506	7010	6817
507	7022	6800
508	7036	6788
509	7052	6775
510	7061	6757
511	7073	6742
512	7090	6730
513	7103	6716
514	7117	6702
515	7135	6693
516	7144	6674
517	7159	6662
518	7174	6648
519	7190	6637
520	7204	6623
521	7221	6612
522	7238	6601
523	7253	6588
524	7265	6573
525	7283	6563
526	7302	6554
527	7316	6540
528	7332	6528
529	7352	6520
530	7371	6510
531	7456	6559
532	7486	6559
533	7500	6545
534	7513	6530
535	7523	6512
536	7538	6499
537	7553	6486
538	7564	6469
539	7575	6453
540	7586	6436
541	7605	6426
542	7617	6410
543	7629	6395
544	7641	6379
545	7655	6365
546	7664	6346
547	7675	6331
548	7684	6312
549	7693	6294
550	7701	6275
551	7709	6257
552	7720	6240
553	7729	6222
554	7743	6208
555	7757	6194
556	7770	6179
557	7784	6165
558	7792	6147
559	7802	6130
560	7810	6112
561	7821	6095
562	7831	6078
563	7839	6060
564	7849	6043
565	7859	6026
566	7871	6011
567	7882	5995
568	7892	5977
569	7901	5960
570	7911	5943
571	7921	5927
572	7934	5912
573	7942	5894
574	7951	5877
575	7960	5860
576	7970	5842
577	7980	5826
578	7987	5808
579	7997	5791
580	8006	5774
581	8015	5756
582	8026	5740
583	8034	5723
584	8045	5707
585	8055	5690
586	8063	5672
587	8070	5655
588	8080	5638
589	8094	5625
590	8101	5606
591	8114	5592
592	8125	5577
593	8134	5559
594	8144	5543
595	8160	5531
596	8168	5514
597	8178	5497
598	8187	5480
599	8195	5463
600	8205	5447
601	8213	5429
602	8226	5415
603	8247	5407
604	8262	5394
605	8277	5381
606	8293	5369
607	8309	5357
608	8321	5342
609	8329	5325
610	8349	5316
611	8358	5299
612	8372	5285
613	8386	5272
614	8398	5257
615	8408	5241
616	8419	5226
617	8430	5210
618	8437	5193
619	8444	5175
620	8452	5158
