iter	RMSE
402	1.04033762
403	1.040034573
404	1.039800795
405	1.039586504
406	1.039359041
407	1.039111842
408	1.038615835
409	1.038230148
410	1.038045092
411	1.037604597
412	1.037213841
413	1.036817748
414	1.036405199
415	1.036060601
416	1.035654909
417	1.035429671
418	1.034825579
419	1.034405633
420	1.034043069
421	1.03361805
422	1.033203712
423	1.032842735
424	1.032345273
425	1.032074225
426	1.031771144
427	1.03138963
428	1.030885646
429	1.03055581
430	1.030067882
431	1.029845075
432	1.029563476
433	1.029239834
434	1.028775163
435	1.028349555
436	1.02814517
437	1.027903298
438	1.027541137
439	1.027046182
440	1.026836411
441	1.026658945
442	1.026346835
443	1.025940294
444	1.025306131
445	1.024988047
446	1.024575035
447	1.024418107
448	1.024009774
449	1.023433118
450	1.023010606
451	1.022596578
452	1.022207296
453	1.021954414
454	1.021634211
455	1.021313393
456	1.021067122
457	1.020696704
458	1.02035008
459	1.020022701
460	1.01985349
461	1.019459777
462	1.019151993
463	1.018781948
464	1.018371091
465	1.017891041
466	1.017566365
467	1.017250672
468	1.016885968
469	1.016619392
470	1.01622233
471	1.015937303
472	1.015626153
473	1.015267549
474	1.014865034
475	1.014597873
476	1.014224144
477	1.013861128
478	1.013513064
479	1.013251432
480	1.012719474
481	1.012354834
482	1.011929722
483	1.011479785
484	1.011274349
485	1.011052206
486	1.010615711
487	1.010445454
488	1.010151688
489	1.009646852
490	1.009317208
491	1.00881963
492	1.008424526
493	1.008013215
494	1.007573103
495	1.007226837
496	1.006880455
497	1.006436787
498	1.006092446
499	1.005752364
500	1.005563665
501	1.005224393
502	1.00468736
503	1.004366787
504	1.004074977
505	1.003751683
506	1.003579897
507	1.003364589
508	1.003176181
509	1.002532852
510	1.002032007
511	1.001617295
512	1.001239163
513	1.000941074
514	1.000745428
515	1.000257337
516	1.000074623
517	0.999656613
518	0.9993540611
519	0.9989775843
520	0.9986948723
521	0.9983733364
522	0.9979663716
523	0.9978075723
524	0.9974188272
525	0.9970784256
526	0.996693747
527	0.9963391431
528	0.9960362566
529	0.9957098027
530	0.9954860143
531	0.9954067701
532	0.9949132478
533	0.9945323318
534	0.9941136265
535	0.9937694527
536	0.9932563502
537	0.9929151663
538	0.9924709079
539	0.9921822643
540	0.99182472
541	0.9915048549
542	0.9912403093
543	0.9908859913
544	0.990537936
545	0.9901676373
546	0.9898175025
547	0.9893938829
548	0.9892631034
549	0.9888449986
550	0.9885670404
551	0.9882264034
552	0.9879559815
553	0.9876408243
554	0.9872738506
555	0.9869254168
556	0.986653394
557	0.98626352
558	0.985868974
559	0.9854411563
560	0.9852369281
561	0.9850363178
562	0.9847933043
563	0.9845365533
564	0.9841722101
565	0.9840054376
566	0.9835936081
567	0.9833024794
568	0.983056873
569	0.982690238
570	0.9824660143
571	0.9822231386
572	0.9820792528
573	0.9817067695
574	0.9815853083
575	0.9814274326
576	0.981127041
577	0.9808228735
578	0.9804663795
579	0.9802926268
580	0.9801881151
581	0.9799320444
582	0.9795608118
583	0.9791941096
584	0.9790256295
585	0.9787073242
586	0.9784244885
587	0.9781732218
588	0.9779349872
589	0.977640847
590	0.977397807
591	0.9770792832
592	0.9768170131
593	0.9765228278
594	0.9762056037
595	0.9759347115
596	0.9756018861
597	0.9754655374
598	0.975179384
599	0.9749116834
600	0.9747460484
601	0.9744213147
602	0.9740854706
603	0.973750853
604	0.9734634212
605	0.9731443588
606	0.9727826023
607	0.9723610676
608	0.9721249119
609	0.9719220919
610	0.9714841153
611	0.9712038547
612	0.9710509422
613	0.9706687642
614	0.9703183711
615	0.9699270006
616	0.9695408756
617	0.9692518212
618	0.9688873717
619	0.968704342
620	0.9683508427
621	0.9680605624
622	0.9676731358
623	0.9674331551
624	0.967211333
625	0.9667884825
626	0.9664701902
627	0.9660789338
628	0.9658072513
629	0.9655288648
630	0.9652324037
631	0.9649614566
632	0.9646300689
633	0.9643113927
634	0.9640321204
635	0.9637548064
636	0.9635424166
637	0.9632615957
638	0.9630545808
639	0.962765277
640	0.9623246384
641	0.962066095
642	0.9618341766
643	0.9615083391
644	0.9612375619
645	0.9609981516
646	0.9608566248
647	0.960591454
648	0.9602862463
649	0.9600178861
650	0.9598848665
651	0.9594783694
652	0.9593250382
653	0.9590537181
654	0.9588287379
655	0.9586760977
656	0.9584299846
657	0.9580625992
658	0.9576597421
659	0.9574576726
660	0.9570514598
661	0.9567627117
662	0.9564876955
663	0.956141795
664	0.9558811387
665	0.9556430891
666	0.955396465
667	0.9551102445
668	0.9548235694
669	0.9545242181
670	0.9542297178
671	0.9539612277
672	0.9536234658
673	0.9535072462
674	0.9531344402
675	0.9529555425
676	0.9526175664
677	0.9523076393
678	0.9521643061
679	0.9519245747
680	0.9515579799
681	0.9512734526
682	0.9509906652
683	0.9507127819
684	0.9505828585
685	0.9502907841
686	0.9498960168
687	0.9497152247
688	0.9493831747
689	0.9490011859
690	0.9487122474
691	0.9485157616
692	0.9481967367
693	0.9479393179
694	0.9476392063
695	0.9472532518
696	0.9468940109
697	0.9466476575
698	0.9463655437
699	0.946045025
700	0.9457192209
701	0.9454274273
702	0.9451524912
703	0.9447167019
704	0.9444457501
705	0.9440334419
706	0.9438405062
707	0.9435171333
708	0.9430582927
709	0.9428863479
710	0.9425982107
711	0.9422053082
712	0.9419223228
713	0.941492803
714	0.941079035
715	0.9408438747
716	0.9405901825
717	0.9404258101
718	0.9402530395
719	0.9399274932
720	0.9396670848
721	0.9394586675
722	0.9391261759
723	0.9388461447
724	0.9384243389
725	0.9381688691
726	0.9378412747
727	0.9375547141
728	0.9373723285
729	0.9371371105
730	0.9369870827
731	0.9366544972
732	0.9363286914
733	0.9360323741
734	0.9356957238
735	0.935364891
736	0.9349742587
737	0.9346959211
738	0.9344569532
739	0.9342466888
740	0.9340084623
741	0.9337560829
742	0.933544731
743	0.9332456694
744	0.9329227593
745	0.93257062
746	0.93236906
747	0.9321424752
748	0.9318300697
749	0.931547643
750	0.9312238627
751	0.9308975581
752	0.9306600661
753	0.9304182304
754	0.9302333086
755	0.9299616367
756	0.929760864
757	0.9294000749
758	0.9291677508
759	0.928819318
760	0.9286039434
761	0.9283424331
762	0.9281030019
763	0.9278694282
764	0.9276612849
765	0.9275781374
766	0.9273037644
767	0.9270332078
768	0.9267129661
769	0.9264524068
770	0.9263714832
771	0.9260474541
772	0.9257370663
773	0.9255417467
774	0.9251747188
775	0.9249648101
776	0.9246797149
777	0.9244713959
778	0.9242550657
779	0.923984477
780	0.9238191254
781	0.9236037393
782	0.9232991741
783	0.9231418683
784	0.9227855793
785	0.9224699218
786	0.9223788057
787	0.9221183921
788	0.9218075447
789	0.9215138121
790	0.921300655
791	0.9210580934
792	0.920829786
793	0.9207463772
794	0.9205484129
795	0.9201949665
796	0.919994994
797	0.9198736107
798	0.9195868424
799	0.9192673859
800	0.9191874345
801	0.9186978073
802	0.9184768622
803	0.9182596116
804	0.9180530993
805	0.9177960953
806	0.9175201618
807	0.9172476169
808	0.9170797702
809	0.9168578118
810	0.9166664891
811	0.9164879713
812	0.9162475989
813	0.9158084363
814	0.9154895267
815	0.9152372829
816	0.9150620045
817	0.9149551628
818	0.9146747336
819	0.9143806176
820	0.9141146685
821	0.9140189844
822	0.913718138
823	0.9134918545
824	0.9132341866
825	0.9130820777
826	0.9127610976
827	0.9126416439
828	0.9124512964
829	0.9122459934
830	0.9119665075
831	0.9117235502
832	0.9114574761
833	0.9112581704
834	0.9110537672
835	0.9107667946
836	0.9104820472
837	0.9103259671
838	0.9101135543
839	0.9098731141
840	0.9096236249
841	0.9093398093
842	0.9091038981
843	0.908875677
844	0.9085149031
845	0.9081995515
846	0.9079177623
847	0.9077338643
848	0.9074622054
849	0.9073229809
850	0.9070209045
851	0.9068449197
852	0.9066668124
853	0.9064509789
854	0.9061758566
855	0.9060362755
856	0.9057765485
857	0.9056146211
858	0.9054371503
859	0.9051113535
860	0.9048500917
861	0.9045595028
862	0.9043372592
863	0.904132172
864	0.9039719185
865	0.9037052316
866	0.9035094226
867	0.9033347491
868	0.9031309423
869	0.9028290762
870	0.902572217
871	0.9022198843
872	0.9020414459
873	0.9016735572
874	0.9014010413
875	0.901233585
876	0.9010679089
877	0.900798667
878	0.9005467366
879	0.9002680834
880	0.9001056828
881	0.8998181129
882	0.8994846316
883	0.8992134835
884	0.899064908
885	0.898990107
886	0.8986000853
887	0.8983006737
888	0.8979418822
889	0.8976955019
890	0.8973506229
891	0.8970932091
892	0.8969315983
893	0.8966837944
894	0.8963801526
895	0.8960443307
896	0.8958782445
897	0.8956856074
898	0.8954125605
899	0.8951739689
900	0.8948180648
901	0.8945469104
902	0.8942339893
903	0.8940396669
904	0.8939192598
905	0.8937085048
906	0.8935506565
907	0.8931887531
908	0.8927849054
909	0.8923416356
910	0.8919869767
911	0.8916491363
912	0.891397189
913	0.8910304344
914	0.8908787789
915	0.8906905355
916	0.8903985527
917	0.8900993973
918	0.8897912581
919	0.8895904524
920	0.889263686
921	0.889084405
922	0.8888745614
923	0.888712689
924	0.888466181
925	0.8883992619
926	0.8882038809
927	0.8879297407
928	0.88763787
929	0.8873837451
930	0.8870820841
931	0.8867901232
932	0.8866020841
933	0.8864267748
934	0.8860291784
935	0.8859168428
936	0.8853735604
937	0.8851656894
938	0.8850602856
939	0.8847898109
940	0.8846912795
941	0.8845334348
942	0.8843483846
943	0.8841021257
944	0.8839041345
945	0.8837609914
946	0.8834722199
947	0.8831803415
948	0.8828408361
949	0.8825445653
950	0.8821671117
951	0.881935542
952	0.8816962601
953	0.8813918792
954	0.8810870081
955	0.8808471831
956	0.8806871305
957	0.8804410688
958	0.8801309565
959	0.8799033907
960	0.879799119
961	0.879646223
962	0.8795316889
963	0.8792353343
964	0.8791168675
965	0.8789501772
966	0.8787606032
967	0.8785043606
968	0.8783556025
969	0.8781031411
970	0.8778376523
971	0.8776010867
972	0.8774581195
973	0.8772978062
974	0.8770249785
975	0.8768416742
976	0.8766108503
977	0.8764347015
978	0.8760923492
979	0.875934734
980	0.8755972861
981	0.8754993081
982	0.8752856963
983	0.8750837823
984	0.8748840967
985	0.8745579925
986	0.8742967402
987	0.8740883944
988	0.8737430698
989	0.8735981186
990	0.8732819734
991	0.8729790666
992	0.8726981349
993	0.8724002551
994	0.872151123
995	0.8720691444
996	0.871803886
997	0.8715188121
998	0.8712278935
999	0.8711064468
0.8611332946
98	0.8592630094
999	0.8589152894
